case_id,case_family,category,query,expected_action,expected_reason,actual_action,actual_reason,claim_recall_pct,context_precision_pct,faithfulness_pct,claim_f1_pct,nrr_correct,retrieval_attempt,retrieval_status,retry_used,retry_outcome,packed_context_count,packed_context_chars,candidate_count,gold_candidate_hits,gold_pack_hits,pipeline_fingerprint,requested_provider,requested_model,actual_provider,actual_model,llm_fallback_used,primary_classification,root_cause_layer,severity,secondary_flags,baseline_case_delta,baseline_comparison,evidence_summary,audit_notes
ANS-TRT-001,answerable_single_turn,treatment_use_combination,Vai trò chung của thuốc bôi trong điều trị mụn là gì?,generate,,abstain,evidence_gap,50.0,12.5,0.0,0.0,,1,ok,false,,8,4572,26,1,0,5991f3c8effb67091fd6274c,,,system,,false,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,false_abstention|full_8_item_pack|gold_missing_from_pack|low_claim_recall|low_context_precision|low_faithfulness|retrieval_noise,"{""claim_f1"": -15.3846, ""claim_recall"": -10.0, ""context_precision"": -37.5, ""faithfulness"": -100.0}",REGRESSED,"gold_ids=1; candidate_hits=1; pack_hits=0; CR=50.0; response_recall=0.0000; response_precision=0.0000; faithfulness=0.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'abstain']",Canonical gold provenance reached candidates but was absent from the final packed context before abstention.
ANS-TRT-002,answerable_single_turn,treatment_use_combination,Phối hợp adapalene với benzoyl peroxide được NICE đặt ở vị trí nào trong điều trị ban đầu?,generate,,generate,evidence_sufficient,100.0,50.0,100.0,44.44444444444445,,1,ok,false,,4,5806,26,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": 11.1111, ""claim_recall"": 0.0, ""context_precision"": -50.0, ""faithfulness"": 0.0}",MIXED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.2857; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-TRT-003,answerable_single_turn,treatment_use_combination,Vì sao kháng sinh bôi không nên dùng một mình và benzoyl peroxide hỗ trợ thế nào?,generate,,generate,evidence_sufficient,100.0,37.5,100.0,54.54545454545454,,1,ok,false,,8,5346,24,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,full_8_item_pack|high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": -31.1688, ""claim_recall"": 0.0, ""context_precision"": -12.5, ""faithfulness"": 25.0}",MIXED,"gold_ids=2; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.3750; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-TRT-004,answerable_single_turn,treatment_use_combination,Nguyên tắc về thời gian và phối hợp khi dùng kháng sinh uống trị mụn là gì?,generate,,generate,evidence_sufficient,75.0,37.5,100.0,40.0,,1,ok,false,,8,4529,24,0,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,full_8_item_pack|high_claim_recall|high_faithfulness|retrieval_noise,"{""claim_f1"": -26.6667, ""claim_recall"": 0.0, ""context_precision"": 0.0, ""faithfulness"": 0.0}",REGRESSED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=75.0; response_recall=0.5000; response_precision=0.3333; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Packed evidence did not cover all gold claims and no additional exact gold provenance was available to the packer.
ANS-TRT-005,answerable_single_turn,treatment_use_combination,"Sau khi mụn đã ổn, ai có thể cần điều trị duy trì và lựa chọn nào được cân nhắc?",generate,,generate,evidence_sufficient,100.0,66.66666666666666,100.0,25.0,,1,ok,false,,3,5955,29,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.1-flash-lite,true,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,high_claim_recall|high_faithfulness|over_answering|provider_fallback|retrieval_gold_hit,"{""claim_f1"": 25.0, ""claim_recall"": 100.0, ""context_precision"": 66.6667, ""faithfulness"": 12.5}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.1429; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']","Core gold claims were covered and grounded, but the response added substantially more supported claims than requested."
ANS-TRT-006,answerable_single_turn,treatment_use_combination,Trong những tình huống nào hướng dẫn cân nhắc isotretinoin uống?,generate,,generate,evidence_sufficient,100.0,33.33333333333333,100.0,85.36585365853658,,1,ok,false,,3,5894,28,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_GENERATION_OMISSION,generation,MEDIUM,generation_omission|high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": 85.3659, ""claim_recall"": 100.0, ""context_precision"": 33.3333, ""faithfulness"": 75.0}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=0.8333; response_precision=0.8750; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']","Gold-supporting context was complete, but the response omitted at least one required gold claim."
ANS-TRT-007,answerable_single_turn,treatment_use_combination,Spironolactone có thể phù hợp với nhóm người bệnh mụn nào?,generate,,generate,evidence_sufficient,100.0,100.0,100.0,57.14285714285715,,1,ok,false,,6,5865,24,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": 7.1429, ""claim_recall"": 0.0, ""context_precision"": 75.0, ""faithfulness"": 33.3333}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.4000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-TRT-008,answerable_single_turn,treatment_use_combination,Thuốc tránh thai phối hợp có vai trò gì trong điều trị mụn và có thể kết hợp với gì?,generate,,generate,evidence_sufficient,50.0,12.5,100.0,0.0,,1,ok,false,,8,4058,23,1,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,full_8_item_pack|gold_missing_from_pack|high_faithfulness|low_claim_recall|low_context_precision|retrieval_noise,"{""claim_f1"": -13.3333, ""claim_recall"": 0.0, ""context_precision"": -12.5, ""faithfulness"": 23.0769}",MIXED,"gold_ids=2; candidate_hits=1; pack_hits=0; CR=50.0; response_recall=0.0000; response_precision=0.1429; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",At least one canonical gold chunk was a candidate but was not retained in the final pack.
ANS-TRT-009,answerable_single_turn,treatment_use_combination,Salicylic acid bôi hỗ trợ mụn theo cách nào và giới hạn tác dụng của nó là gì?,generate,,generate,evidence_sufficient,25.0,25.0,85.71428571428571,26.666666666666668,,1,ok,false,,4,5933,26,2,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,gold_missing_from_pack|high_faithfulness|low_claim_recall|low_context_precision|retrieval_gold_hit,"{""claim_f1"": 26.6667, ""claim_recall"": 25.0, ""context_precision"": 25.0, ""faithfulness"": 85.7143}",IMPROVED,"gold_ids=2; candidate_hits=2; pack_hits=1; CR=25.0; response_recall=0.2500; response_precision=0.2857; faithfulness=85.71428571428571; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",At least one canonical gold chunk was a candidate but was not retained in the final pack.
ANS-TRT-010,answerable_single_turn,treatment_use_combination,Hướng dẫn NICE nêu những nồng độ azelaic acid bôi nào?,generate,,generate,evidence_sufficient,100.0,50.0,100.0,100.0,,1,ok,false,,4,5897,25,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": 0.0, ""claim_recall"": 0.0, ""context_precision"": 33.3333, ""faithfulness"": 0.0}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=1.0000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-TRT-011,answerable_single_turn,treatment_use_combination,Một routine làm sạch cơ bản cho da mụn nên tuân theo nguyên tắc nào?,generate,,generate,evidence_sufficient,0.0,0.0,100.0,0.0,,1,ok,false,,7,5861,24,0,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.1-flash-lite,true,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,high_faithfulness|low_claim_recall|low_context_precision|provider_fallback|retrieval_noise,"{""claim_f1"": 0.0, ""claim_recall"": 0.0, ""context_precision"": 0.0, ""faithfulness"": 25.0}",IMPROVED,"gold_ids=1; candidate_hits=0; pack_hits=0; CR=0.0; response_recall=0.0000; response_precision=0.0667; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Packed evidence did not cover all gold claims and no additional exact gold provenance was available to the packer.
ANS-TRT-012,answerable_single_turn,treatment_use_combination,Có thể chỉ dựa vào chế độ ăn tải đường huyết thấp để điều trị mụn không?,generate,,generate,evidence_sufficient,100.0,50.0,90.9090909090909,30.76923076923077,,1,ok,false,,4,5912,22,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,high_claim_recall|high_faithfulness|over_answering|retrieval_gold_hit,"{""claim_f1"": 30.7692, ""claim_recall"": 100.0, ""context_precision"": 50.0, ""faithfulness"": 90.9091}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.1818; faithfulness=90.9090909090909; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']","Core gold claims were covered and grounded, but the response added substantially more supported claims than requested."
ANS-MEC-001,answerable_single_turn,mechanism_role,Benzoyl peroxide có vai trò kháng khuẩn và tác động lên mụn bằng những cơ chế chính nào?,generate,,generate,evidence_sufficient,100.0,50.0,100.0,100.0,,1,ok,false,,4,5989,26,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": 0.0, ""claim_recall"": 0.0, ""context_precision"": 37.5, ""faithfulness"": 0.0}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=1.0000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-MEC-002,answerable_single_turn,mechanism_role,Retinoid bôi góp phần kiểm soát nhân mụn và viêm ra sao?,generate,,generate,evidence_sufficient,100.0,20.0,100.0,33.333333333333336,,1,ok,false,,5,5901,28,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,high_claim_recall|high_faithfulness|low_context_precision|over_answering|retrieval_gold_hit,"{""claim_f1"": 2.5641, ""claim_recall"": 0.0, ""context_precision"": -20.0, ""faithfulness"": 0.0}",REGRESSED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.2000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']","Core gold claims were covered and grounded, but the response added substantially more supported claims than requested."
ANS-MEC-003,answerable_single_turn,mechanism_role,Isotretinoin ảnh hưởng đến tuyến bã và quá trình hình thành mụn như thế nào?,generate,,generate,evidence_sufficient,100.0,66.66666666666666,100.0,83.33333333333333,,1,ok,false,,3,5858,31,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": 83.3333, ""claim_recall"": 100.0, ""context_precision"": 66.6667, ""faithfulness"": 100.0}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.7143; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-MEC-004,answerable_single_turn,mechanism_role,Spironolactone tác động lên con đường androgen bằng cách nào?,generate,,generate,evidence_sufficient,100.0,20.0,100.0,33.333333333333336,,1,ok,false,,5,5981,29,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,EXPECTED_METRIC_BEHAVIOR,metric_behavior,LOW,expected_metric_penalty|high_claim_recall|high_faithfulness|low_context_precision|retrieval_gold_hit,"{""claim_f1"": -41.6667, ""claim_recall"": 0.0, ""context_precision"": -13.3333, ""faithfulness"": 0.0}",REGRESSED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.2000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",The answer is substantively supported; claim segmentation or narrow gold scope explains the remaining low F1.
ANS-MEC-005,answerable_single_turn,mechanism_role,Tác dụng kháng androgen giải thích vai trò của thuốc tránh thai phối hợp trong mụn thế nào?,generate,,generate,evidence_sufficient,100.0,100.0,100.0,20.0,,1,ok,false,,3,5697,26,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_GENERATION_OVER_ANSWERING,generation,LOW,high_claim_recall|high_faithfulness|over_answering|retrieval_gold_hit,"{""claim_f1"": -5.0, ""claim_recall"": 0.0, ""context_precision"": 87.5, ""faithfulness"": 0.0}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.1111; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']","Core gold claims were covered and grounded, but the response added substantially more supported claims than requested."
ANS-MEC-006,answerable_single_turn,mechanism_role,Salicylic acid làm thông thoáng lỗ chân lông nhưng không làm được những việc gì?,generate,,generate,evidence_sufficient,100.0,75.0,100.0,40.0,,1,ok,false,,4,5989,28,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": -35.0, ""claim_recall"": 0.0, ""context_precision"": 0.0, ""faithfulness"": 0.0}",REGRESSED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.2500; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
ANS-MEC-007,answerable_single_turn,mechanism_role,Clascoterone thuộc nhóm tác động nội tiết tại chỗ nào và được dùng cho độ tuổi nào theo nguồn Bộ Y tế?,generate,,generate,evidence_sufficient,75.0,25.0,100.0,85.71428571428571,,1,ok,false,,8,5606,27,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_RETRIEVAL_UNDERCOVERAGE,retrieval,MEDIUM,full_8_item_pack|high_claim_recall|high_faithfulness|low_context_precision|retrieval_gold_hit,"{""claim_f1"": 15.1261, ""claim_recall"": 0.0, ""context_precision"": 12.5, ""faithfulness"": 0.0}",IMPROVED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=75.0; response_recall=0.7500; response_precision=1.0000; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Packed evidence did not cover all gold claims and no additional exact gold provenance was available to the packer.
ANS-MEC-008,answerable_single_turn,mechanism_role,Vì sao benzoyl peroxide thường được đưa vào phác đồ có kháng sinh bôi?,generate,,generate,evidence_sufficient,50.0,100.0,100.0,33.33333333333333,,1,ok,false,,3,5908,24,2,0,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,SYSTEM_BUG_PACKER_SELECTION,packing,MEDIUM,gold_missing_from_pack|high_faithfulness|low_claim_recall|retrieval_noise,"{""claim_f1"": -16.6667, ""claim_recall"": 0.0, ""context_precision"": 40.0, ""faithfulness"": 25.0}",MIXED,"gold_ids=2; candidate_hits=2; pack_hits=0; CR=50.0; response_recall=0.5000; response_precision=0.2500; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",At least one canonical gold chunk was a candidate but was not retained in the final pack.
ANS-ADV-001,answerable_single_turn,adverse_effects_precautions,Những kích ứng và ảnh hưởng lên đồ vải nào có thể gặp với benzoyl peroxide?,generate,,generate,evidence_sufficient,100.0,100.0,100.0,94.11764705882352,,1,ok,false,,3,5752,28,1,1,5991f3c8effb67091fd6274c,gemini,gemini-3.5-flash-lite,gemini,gemini-3.5-flash-lite,false,PASS,none,,high_claim_recall|high_faithfulness|retrieval_gold_hit,"{""claim_f1"": 5.2288, ""claim_recall"": 0.0, ""context_precision"": 0.0, ""faithfulness"": 0.0}",UNCHANGED,"gold_ids=1; candidate_hits=1; pack_hits=1; CR=100.0; response_recall=1.0000; response_precision=0.8889; faithfulness=100.0; assessment=provenance_complete_evidence_available; decisions=['retrieve', 'generate']",Behavior and evidence are substantively aligned with the benchmark.
